most_recent_visit,active,created,birth_y_m,age,most_recent_y,most_recent_m,most_recent_d,total_ltv_inc,total_ltv_ex,product,days_since_last_pay,subscription_duration_days,total_cancellations,total_entries,cancellation_date,n_quits,check_in,theoretical_inactive_date,anon_id
2025-11-28 10:28:00,yes,1990-01-01,1977-09-01,49.0,2025,11,28,22193.0,20936.72,crossfit_12_mån_autogiro_open_gym,13.0,762.0,12.0,502.0,2026-01-21,3.0,502.0,2026-02-26,3a961561-9943-4b71-a29e-35276e9b10f7
2023-09-04 18:09:00,no,1990-01-01,1977-03-01,49.0,2023,9,4,22561.0,21283.98,crossfit_6_mån_autogiro_fullt_medlemskap,897.0,822.0,81.0,169.0,2023-08-22,1.0,169.0,2023-08-26,64809e17-4f02-441b-8357-40d9ae116ff9
2022-04-23 12:02:00,no,1990-01-01,1993-02-01,33.0,2022,4,23,9438.0,8903.730000000001,crossfit_12_mån_autogiro_open_gym,1385.0,334.0,,75.0,2022-04-15,2.0,75.0,2022-05-27,b0e8d0a1-c0c4-41d8-ac42-3c487134bae4
2025-03-24 18:10:00,yes,1990-01-01,1986-02-01,40.0,2025,3,24,44384.0,41871.72,crossfit_12_mån_autogiro_fullt_medlemskap,136.0,1583.0,129.0,216.0,2021-03-10,1.0,216.0,2026-03-05,57f807c4-cfee-4d10-828c-7ac67eb5eb68
2026-02-11 17:21:00,yes,1990-01-01,1972-01-01,54.0,2026,2,11,52655.0,49674.5,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,131.0,891.0,,,891.0,2026-02-26,cdc27938-6de5-42ab-a13a-9744754be88d
2025-01-15 19:06:00,no,1990-01-01,1989-12-01,37.0,2025,1,15,3492.0,3294.34,crossfit_6_mån_autogiro_fullt_medlemskap,350.0,110.0,4.0,12.0,2025-01-23,2.0,12.0,2025-03-29,15e0e7d1-addb-408a-8dce-30af8bb58daf
2026-02-10 06:12:00,yes,1990-01-01,1973-09-01,53.0,2026,2,10,55494.0,52352.85,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,81.0,478.0,2020-07-31,1.0,478.0,2026-02-26,6ab90da0-474e-41d9-b95b-29ecef1affda
2021-08-05 10:07:00,no,1990-01-01,1985-02-01,41.0,2021,8,5,1295.0,1221.69,crossfit_12_mån_autogiro_open_gym,1658.0,61.0,,29.0,2021-07-05,2.0,29.0,2021-08-26,2ebbce00-ea56-48ae-a41b-a6dd26297f73
2022-12-14 18:15:00,no,1990-01-01,1991-08-01,35.0,2022,12,14,15327.0,14459.43,crossfit_12_mån_autogiro_fullt_medlemskap,1140.0,579.0,25.0,74.0,2022-12-20,2.0,74.0,2023-01-26,791652c1-21a4-46ba-9399-309c7183ae7b
2026-02-11 16:59:00,yes,1990-01-01,1994-04-01,32.0,2026,2,11,2426.0,2288.69,skåpshyra_12_mån_autogiro,75.0,1446.0,67.0,642.0,2025-12-01,1.0,642.0,2025-12-27,62a0d671-27a6-43b0-b34d-2c5f4efb67b6
2021-09-19 16:24:00,no,1990-01-01,1985-03-01,41.0,2021,9,19,2916.0,2750.93,crossfit_12_mån_autogiro_fullt_medlemskap,1627.0,92.0,5.0,16.0,2021-08-26,2.0,16.0,2021-09-26,b936472c-53bf-4006-af7d-ef88887f2e03
2025-10-18 11:27:00,no,1990-01-01,1987-02-01,39.0,2025,10,18,49892.0,47067.939999999995,crossfit_12_mån_autogiro_fullt_medlemskap,136.0,1583.0,108.0,242.0,2025-09-23,3.0,242.0,2025-10-30,df17f269-6cc2-4679-a590-6cb0822c12e4
2026-01-26 18:11:00,yes,1990-01-01,1996-02-01,30.0,2026,1,26,47579.0,44885.71,crossfit_12_mån_autogiro_student_fullt_medlemskap,44.0,1675.0,117.0,206.0,2022-01-07,1.0,206.0,2026-01-28,b5421414-9238-4ac2-bd63-d29dc9da93f8
2021-09-02 15:15:00,no,2013-10-28,1994-11-01,32.0,2021,9,2,2916.0,2750.93,crossfit_12_mån_autogiro_fullt_medlemskap,1627.0,92.0,,19.0,2021-08-26,2.0,19.0,2021-09-26,e0d7998e-28ac-4b53-8075-0cd4f1e4c313
2026-02-09 18:06:00,yes,2016-02-03,1986-01-01,40.0,2026,2,9,45806.0,43213.05,crossfit_12_mån_autogiro_student_fullt_medlemskap,44.0,1675.0,138.0,278.0,2020-05-13,1.0,278.0,2026-01-28,953f1e79-b079-4188-acb3-113bc8ab4e01
2026-02-11 18:11:00,yes,2016-05-28,1978-09-01,48.0,2026,2,11,54208.0,51139.64,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,102.0,359.0,2020-07-27,1.0,359.0,2026-02-26,c9f71e29-00cd-47ba-bf63-53696fd290dd
2026-01-26 16:26:00,yes,2016-08-05,1994-05-01,32.0,2026,1,26,47677.0,44978.11,crossfit_12_mån_autogiro_open_gym,13.0,1706.0,2.0,443.0,2020-07-21,1.0,443.0,2026-01-28,7dbd56bc-dc1a-437b-b8ab-949867a442e8
2026-02-10 17:02:00,yes,2016-08-08,1973-01-01,53.0,2026,2,10,53165.0,50155.67,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,206.0,263.0,2020-07-27,1.0,263.0,2026-02-26,98fd054e-db52-4731-976d-ca91c7f89919
2026-02-10 17:29:00,yes,2016-08-09,1989-06-01,37.0,2026,2,10,47677.0,44978.11,crossfit_12_mån_autogiro_open_gym,13.0,1706.0,18.0,524.0,2020-07-17,1.0,524.0,2026-02-26,d5f93a86-c64f-41b4-9f0e-9d3c3640aef2
2025-02-18 16:51:00,no,2016-08-10,1974-10-01,52.0,2025,2,18,15653.0,14766.98,crossfit_12_mån_autogiro_fullt_medlemskap,319.0,1400.0,33.0,13.0,2025-03-31,3.0,13.0,2025-04-26,6d5ffc86-0a7d-47a4-af45-0f4e67485903
2026-02-10 11:52:00,yes,2016-08-11,1986-05-01,40.0,2026,2,10,53411.0,50387.75,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,204.0,418.0,,,418.0,2026-02-26,da7acde3-c430-4273-8ee9-66339910dc4d
2022-10-26 18:16:00,no,2016-08-11,1986-09-01,40.0,2022,10,26,16272.0,15350.94,crossfit_12_mån_autogiro_fullt_medlemskap,1201.0,518.0,28.0,195.0,2022-10-26,2.0,195.0,2022-11-26,f3088b14-47b0-4e16-8283-09d72304d1d1
2026-02-07 17:07:00,yes,2016-08-11,1985-06-01,41.0,2026,2,7,39613.0,37370.69,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,63.0,412.0,2023-02-08,3.0,412.0,2026-02-26,06bca565-d404-45e4-a130-cc42ba3e5340
2024-02-07 08:53:00,no,2016-08-15,1992-11-01,34.0,2024,2,7,25981.0,24510.26,crossfit_12_mån_autogiro_student_open_gym,744.0,975.0,35.0,315.0,2024-01-08,1.0,315.0,2024-02-28,dad7fb3d-e142-4887-ada3-931d5f7f92ea
2025-01-23 11:48:00,no,2016-08-29,1988-08-01,38.0,2025,1,23,41527.0,39176.43,crossfit_12_mån_autogiro_fullt_medlemskap,378.0,1341.0,5.0,44.0,2025-01-13,1.0,44.0,2025-02-27,604e6b74-fa15-4e28-b980-1dda18f20cc8
2026-01-20 08:49:00,yes,2016-08-31,1977-11-01,49.0,2026,1,20,49646.0,46835.87,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,29.0,266.0,2025-01-31,3.0,266.0,2026-02-26,2813d6cd-948f-410a-9dee-dd7ba979870d
2023-01-12 13:27:00,no,2016-09-05,1993-07-01,33.0,2023,1,12,17388.0,16403.75,crossfit_12_mån_autogiro_fullt_medlemskap,1140.0,579.0,79.0,122.0,2022-12-22,2.0,122.0,2023-01-26,3e87e324-7ef8-4788-b609-82d11377dc57
2026-02-11 08:24:00,yes,2016-09-13,1991-08-01,35.0,2026,2,11,53165.0,50155.67,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,21.0,503.0,2020-07-27,1.0,503.0,2026-02-26,613fea35-6399-4959-8432-fd4c2deee594
2026-02-09 16:59:00,yes,2016-09-29,1974-08-01,52.0,2026,2,9,55436.0,52298.13,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,7.0,927.0,2020-04-21,1.0,927.0,2026-02-26,5d2319d4-ef1a-471b-a876-373e54c0c214
2025-09-15 19:01:00,no,2016-10-11,1990-06-01,36.0,2025,9,15,39538.0,37300.01,crossfit_6_mån_autogiro_fullt_medlemskap,166.0,1553.0,301.0,186.0,2025-07-31,5.0,187.0,2025-09-26,b876356b-7339-4e39-a38d-34f0f7f0f430
2026-02-11 10:36:00,yes,2016-11-11,1974-08-01,52.0,2026,2,11,88947.0,83912.3,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,54.0,417.0,,,418.0,2026-02-26,217d416c-cb77-40ae-8d04-d7129c15af61
2023-06-16 08:23:00,no,2017-01-23,1989-09-01,37.0,2023,6,16,23133.0,21823.5,crossfit_12_mån_autogiro_student_fullt_medlemskap,928.0,791.0,176.0,229.0,2023-07-13,3.0,229.0,2023-08-26,2996c8b4-a05f-4d6c-8a52-c7349de13648
2024-02-22 16:46:00,no,2017-01-30,2003-01-01,23.0,2024,2,22,12438.0,11733.97,crossfit_6_mån_autogiro_fullt_medlemskap,470.0,351.0,5.0,40.0,2024-10-29,2.0,40.0,2024-06-28,19fb2000-da95-4a41-9f0d-c3864920e074
2023-09-14 11:50:00,no,2017-05-23,1996-02-01,30.0,2023,9,14,26667.0,25157.55,crossfit_12_mån_autogiro_fullt_medlemskap,867.0,852.0,99.0,49.0,2023-09-14,2.0,49.0,2023-10-27,1a8de8a8-5e90-48da-bb0d-ac6d9a4591b4
2021-08-26 18:44:00,no,2017-06-21,1994-09-01,32.0,2021,8,26,2097.0,1978.29,crossfit_12_mån_autogiro_fullt_medlemskap,1658.0,61.0,3.0,19.0,2021-07-30,1.0,19.0,2021-08-26,e375da62-3784-4499-a3b1-337955e96ef9
2026-02-09 17:13:00,yes,2017-06-29,1995-06-01,31.0,2026,2,9,53765.0,50721.71,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,1706.0,39.0,373.0,2020-07-21,1.0,373.0,2026-02-26,41a0ff21-6452-43c7-9770-ecd1c83e2197
2026-02-06 11:56:00,yes,2017-07-01,1976-01-01,50.0,2026,2,6,47753.9912,45050.97,crossfit_6_mån_autogiro_fullt_medlemskap,13.0,1706.0,69.0,161.0,2021-11-08,2.0,161.0,2026-02-26,cba5216e-2001-4e39-9e76-2c22e3789053
2022-12-02 06:09:00,no,2017-07-05,1972-04-01,54.0,2022,12,2,18408.0,17366.04,crossfit_12_mån_autogiro_fullt_medlemskap,1140.0,579.0,62.0,64.0,2023-03-01,2.0,64.0,2022-12-28,607e9cdc-63dc-44ec-90d6-043c18b73a95
2024-04-13 06:52:00,no,2017-07-13,1978-03-01,48.0,2024,4,13,28557.0,26940.57,crossfit_12_mån_autogiro_fullt_medlemskap,654.0,1065.0,36.0,207.0,2024-04-30,2.0,207.0,2024-05-30,7380f8a6-33c7-4749-8779-53a9bb2eeb6f
2023-06-27 06:15:00,no,2017-07-13,1976-06-01,50.0,2023,6,27,21832.0,20596.23,crossfit_12_mån_autogiro_fullt_medlemskap,1020.0,699.0,22.0,155.0,2023-05-30,2.0,155.0,2023-05-27,9f2953f5-b293-4d16-b1d4-4d6f3673b262
2026-02-11 07:29:00,yes,2017-08-10,1988-09-01,38.0,2026,2,11,31741.0,29944.35,crossfit_12_mån_autogiro_fullt_medlemskap,13.0,993.0,98.0,395.0,,,395.0,2026-02-26,f420ec20-76ba-47a2-a24c-7044ba64ce71
2026-02-07 15:07:00,yes,2017-08-10,1988-07-01,38.0,2026,2,7,32768.0,30913.23,skåpshyra_12_mån_autogiro,13.0,1486.0,15.0,367.0,,,367.0,2026-02-26,36edee4c-32d7-41f6-86a7-761e0cfb8d6d
